Cat group ID,Cat group name,Subcat 2 ID,Subcat 2 name,Subcat ID lowest level,Subcat name lowest level,Type,clearance
NH01,Laptop,NH01-01-01,Laptop - Máy tính xách tay,NH01-01-01-02,Laptop - Máy tính xách tay non-gaming,laptop,no
NH01,Laptop,NH01-01-01,Laptop - Máy tính xách tay,NH01-01-01-03,Laptop - Máy tính xách tay doanh nghiệp,laptop,no
NH01,Laptop,NH01-01-01,Laptop - Máy tính xách tay,NH01-01-01-01,Laptop - Máy tính xách tay gaming,laptop,no
NH01,Laptop,NH01-01-01,Laptop - Máy tính xách tay,NH01-01-01-97,Laptop - Máy tính xách tay đã qua sử dụng,laptop,yes
NH01,Laptop,NH01-01-98,Quà tặng Laptop - Máy tính xách tay,NH01-01-98-02,Thiết bị ngoại vi (Quà tặng Laptop - Máy tính xách tay),gift,no
NH01,Laptop,NH01-01-98,Quà tặng Laptop - Máy tính xách tay,NH01-01-98-05,"Thời trang, lưu trữ, số sách (Quà tặng Laptop - Máy tính xách tay)",gift,no
NH01,Laptop,NH01-01-98,Quà tặng Laptop - Máy tính xách tay,NH01-01-98-03,"Điện tử, điện máy (Quà tặng Laptop - Máy tính xách tay)",gift,no
NH02,PC,NH02-01-01,Máy tính bộ Phong Vũ văn phòng,NH02-01-01-01,Máy tính bộ Phong Vũ văn phòng,pc,no
NH02,PC,NH02-01-01,Máy tính bộ Phong Vũ văn phòng,NH02-01-01-97,Máy tính bộ Phong Vũ đã qua sử dụng,pc,yes
NH02,PC,NH02-01-02,Máy tính bộ Phong Vũ gaming,NH02-01-02-01,Máy tính bộ Phong Vũ gaming,pc,
NH02,PC,NH02-01-03,Máy tính bộ Hãng văn phòng,NH02-01-03-01,Máy tính bộ Hãng văn phòng,pc,
NH02,PC,NH02-01-03,Máy tính bộ Hãng văn phòng,NH02-01-03-02,Máy tính bộ Hãng văn phòng AIO,pc,
NH02,PC,NH02-01-98,Quà tặng máy tính bộ,NH02-01-98-99,Quà tặng máy tính bộ khác,gift,
NH02,PC,NH02-01-98,Quà tặng máy tính bộ,NH02-01-98-02,Thiết bị ngoại vi (Quà tặng máy tính bộ),gift,
